Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,29.230000,29.250000,28.459999,28.520000,28.520000,0
2004-02-01,28.530001,28.610001,28.400000,28.520000,28.520000,0
2004-03-01,28.500000,28.690001,28.469999,28.487801,28.487801,0
2004-04-01,28.500000,29.020000,28.487801,29.000000,29.000000,0
2004-05-01,29.010000,29.090000,28.850000,28.990000,28.990000,0
2004-06-01,29.010000,29.090000,28.990000,29.059999,29.059999,0
2004-07-01,29.059999,29.129999,28.980000,29.100000,29.100000,0
2004-08-01,29.100000,29.270000,29.100000,29.219999,29.219999,0
2004-09-01,29.250000,29.250000,29.200001,29.219999,29.219999,0
2004-10-01,29.209999,29.221001,28.709999,28.730000,28.730000,0
2004-11-01,28.740000,28.780001,28.110001,28.120001,28.120001,0
2004-12-01,28.070000,28.160000,27.709999,27.709999,27.709999,0
2005-01-01,27.709999,28.180000,27.709999,28.117800,28.117800,0
2005-02-01,28.010000,28.200001,27.670000,27.693800,27.693800,0
2005-03-01,27.690001,27.900000,27.440001,27.869101,27.869101,0
2005-04-01,27.869101,27.945999,27.687500,27.885000,27.885000,0
2005-05-01,27.780001,28.256800,27.760000,28.236000,28.236000,0
2005-06-01,28.005800,28.688000,28.005800,28.627501,28.627501,0
2005-07-01,28.627501,28.843000,28.556000,28.670000,28.670000,0
2005-08-01,28.611000,28.670000,28.298000,28.670000,28.670000,0
2005-09-01,28.486000,28.568001,28.125000,28.488001,28.488001,0
2005-10-01,28.488001,28.696800,28.396000,28.452801,28.452801,0
2005-11-01,28.555000,28.917000,28.452801,28.873699,28.873699,0
2005-12-01,28.794001,29.000000,28.604000,28.739000,28.739000,0
2006-01-01,28.738899,28.740000,28.738899,28.873699,28.873699,0
2006-02-01,null,null,null,null,null,null
2006-03-01,null,null,null,null,null,null
2006-04-01,null,null,null,null,null,null
2006-05-01,27.000000,27.105000,26.903000,27.006001,27.006001,0
2006-06-01,27.010000,27.132000,26.684999,26.851999,26.851999,0
2006-07-01,26.860001,27.077000,26.789000,26.798000,26.798000,0
2006-08-01,26.799999,26.841000,26.643000,26.752001,26.752001,0
2006-09-01,26.735800,26.834999,26.634001,26.791000,26.791000,0
2006-10-01,26.794001,26.993999,26.690001,26.705000,26.705000,0
2006-11-01,26.705999,26.773001,26.231001,26.250000,26.250000,0
2006-12-01,26.246000,26.422001,26.145000,26.320000,26.320000,0
2007-01-01,26.305000,26.615000,26.305000,26.476999,26.476999,0
2007-02-01,26.479000,26.555000,26.094000,26.114000,26.114000,0
2007-03-01,26.115000,26.275000,25.940001,25.982300,25.982300,0
2007-04-01,25.985001,26.045000,25.644501,25.688000,25.688000,0
2007-05-01,25.684999,25.924999,25.570000,25.865000,25.865000,0
2007-06-01,25.849501,26.080700,25.712999,25.712999,25.712999,0
2007-07-01,25.712999,25.849501,25.366800,25.573999,25.573999,0
2007-08-01,25.573999,25.912500,25.299500,25.650999,25.650999,0
2007-09-01,25.650999,25.728001,24.837000,24.844999,24.844999,0
2007-10-01,24.841999,25.077999,24.621300,24.660000,24.660000,0
2007-11-01,24.662001,25.337700,24.247999,24.510000,24.510000,0
2007-12-01,24.510000,24.789000,24.379000,24.565001,24.565001,0
2008-01-01,24.450001,24.905001,24.254999,24.430000,24.430000,0
2008-02-01,24.429001,24.804001,23.966000,24.011000,24.011000,0
2008-03-01,24.011000,24.058001,23.409000,23.524000,23.524000,0
2008-04-01,23.631001,23.722601,23.309000,23.629999,23.629999,0
2008-05-01,23.757000,23.913000,23.493999,23.684999,23.684999,0
2008-06-01,23.681999,23.844999,23.377001,23.447001,23.447001,0
2008-07-01,23.412001,23.566999,23.070999,23.434999,23.434999,0
2008-08-01,24.655001,24.754999,24.538000,24.620001,24.620001,0
2008-09-01,24.629000,25.832001,24.615000,25.639000,25.639000,0
2008-10-01,25.631001,27.486000,25.576000,27.076000,27.076000,0
2008-11-01,27.056999,27.955999,26.694000,27.930000,27.930000,0
2008-12-01,27.952999,30.575001,26.462999,30.525000,30.525000,0
2009-01-01,30.520000,35.833000,28.370001,35.564999,35.564999,0
2009-02-01,34.880001,36.448002,33.904999,35.237000,35.237000,0
2009-03-01,35.872002,36.327000,32.866001,33.827999,33.827999,0
2009-04-01,33.520000,34.203999,32.742001,32.984001,32.984001,0
2009-05-01,32.544998,33.091000,30.237000,30.257999,30.257999,0
2009-06-01,30.816000,31.520000,30.358000,31.073999,31.073999,0
2009-07-01,31.160999,33.148800,30.497999,31.540001,31.540001,0
2009-08-01,31.540001,32.870098,30.820999,32.404301,32.404301,0
2009-09-01,32.404301,32.404301,29.408001,30.047701,30.047701,0
2009-10-01,30.022200,30.186501,28.374001,28.523001,28.523001,0
2009-11-01,29.028299,29.905300,28.127001,29.219999,29.219999,0
2009-12-01,29.205200,30.958000,28.400000,29.995199,29.995199,0
2010-01-01,30.275000,30.476000,28.812000,30.349600,30.349600,0
2010-02-01,30.195200,30.594999,29.101999,29.948900,29.948900,0
2010-03-01,29.948900,30.038000,28.548000,29.423500,29.423500,0
2010-04-01,29.428499,29.481001,28.343000,29.205000,29.205000,0
2010-05-01,28.440001,31.674999,28.440001,30.885000,30.885000,0
2010-06-01,30.885500,31.938000,30.191000,31.251499,31.251499,0
2010-07-01,31.377001,31.382000,29.622999,30.275000,30.275000,0
2010-08-01,29.437000,30.976999,29.437000,30.652000,30.652000,0
2010-09-01,30.757999,31.356100,30.336500,30.396999,30.396999,0
2010-10-01,30.544001,30.884001,29.555000,30.660000,30.660000,0
2010-11-01,30.789000,31.558701,30.350000,31.339199,31.339199,0
2010-12-01,31.516500,31.561001,30.168600,30.552299,30.552299,0
2011-01-01,30.425200,30.796000,29.156000,29.678200,29.678200,0
2011-02-01,29.754999,29.757999,28.785000,28.924999,28.924999,0
2011-03-01,28.809601,28.932800,28.100000,28.517000,28.517000,0
2011-04-01,28.400000,28.493799,27.232800,27.516199,27.516199,0
2011-05-01,27.343100,28.537500,27.152901,27.998301,27.998301,0
2011-06-01,27.973700,28.378901,27.179001,27.967699,27.967699,0
2011-07-01,27.892700,28.446800,27.391001,27.545300,27.545300,0
2011-08-01,27.616301,30.136200,27.487801,28.842899,28.842899,0
2011-09-01,28.793100,32.519299,28.791599,31.972700,31.972700,0
2011-10-01,32.199100,32.890999,29.656500,29.682501,29.682501,0
2011-11-01,30.304001,31.699301,30.052200,30.791000,30.791000,0
2011-12-01,30.667500,32.285198,30.236000,31.964199,31.964199,0
2012-01-01,31.988701,32.316002,29.353001,30.350000,30.350000,0
2012-02-01,30.350000,30.428801,28.831200,28.998199,28.998199,0
2012-03-01,29.189199,29.774200,28.514999,29.319000,29.319000,0
2012-04-01,29.336201,29.857201,28.754999,29.270201,29.270201,0
2012-05-01,29.323000,33.590000,28.900999,32.766201,32.766201,0
2012-06-01,33.385300,34.107399,31.629000,32.391998,32.391998,0
2012-07-01,32.376999,33.079399,31.385000,32.158199,32.158199,0
2012-08-01,32.200199,32.632999,31.202999,32.537201,32.537201,0
2012-09-01,32.375000,32.500999,29.819000,31.155399,31.155399,0
2012-10-01,31.222200,31.660000,30.129999,31.338600,31.338600,0
2012-11-01,31.280001,31.834700,30.219999,30.865200,30.865200,0
2012-12-01,30.893000,31.026100,29.826000,30.440201,30.440201,0
2013-01-01,30.502001,30.632000,29.245001,30.032000,30.032000,0
2013-02-01,29.981600,30.662001,29.011999,30.441999,30.441999,0
2013-03-01,30.606600,31.108200,29.865000,31.053699,31.053699,0
2013-04-01,31.009300,31.879200,30.718000,30.930201,30.930201,0
2013-05-01,31.000900,31.992201,30.905199,31.656401,31.656401,0
2013-06-01,31.948881,33.008900,31.489201,32.810501,32.810501,0
2013-07-01,32.810501,33.346699,32.202702,32.924198,32.924198,0
2013-08-01,32.922798,33.304100,32.707298,33.277870,33.277870,0
2013-09-01,33.263901,33.520000,31.505400,32.342098,32.342098,0
2013-10-01,32.402802,32.512501,31.587900,31.956100,31.956100,0
2013-11-01,32.040699,33.228500,32.010101,33.145508,33.145508,0
2013-12-01,33.156498,33.279499,32.477402,32.683201,32.683201,0
2014-01-01,32.716202,35.423000,32.661999,34.903301,34.903301,0
2014-02-01,35.174110,36.239201,34.536701,35.990898,35.990898,0
2014-03-01,36.062027,36.820400,35.119999,35.551498,35.551498,0
2014-04-01,35.102699,36.257500,34.933498,35.620399,35.620399,0
2014-05-01,35.601200,35.880875,34.000198,34.916203,34.916203,0
2014-06-01,34.916203,35.254002,33.548500,33.727200,33.727200,0
2014-07-01,33.857201,35.908298,33.293999,35.560001,35.560001,0
2014-08-01,35.641201,37.182999,35.609200,37.078236,37.078236,0
2014-09-01,36.476200,39.717701,36.476200,39.325199,39.325199,0
2014-10-01,39.594200,43.825001,39.253201,41.013000,41.013000,0
2014-11-01,43.271313,49.783401,43.084999,49.257999,49.257999,0
2014-12-01,50.697498,78.578400,50.481800,56.560001,56.560001,0
2015-01-01,58.325001,71.562798,57.255001,69.252075,69.252075,0
2015-02-01,69.510002,70.427101,59.864799,61.134998,61.134998,0
2015-03-01,61.509998,63.013500,55.696800,57.525002,57.525002,0
2015-04-01,57.853500,58.466801,49.084999,50.989700,50.989700,0
2015-05-01,51.459999,58.156200,48.801201,52.529999,52.529999,0
2015-06-01,52.224998,57.160999,52.084999,55.650700,55.650700,0
2015-07-01,55.581200,61.224499,55.060001,59.675499,59.675499,0
2015-08-01,61.512501,71.558998,61.384998,65.294998,65.294998,0
2015-09-01,62.648701,69.254997,62.598701,65.709999,65.709999,0
2015-10-01,65.209999,66.650497,60.549999,64.190002,64.190002,0
2015-11-01,64.114998,67.000000,62.228699,66.419998,66.419998,0
2015-12-01,66.254997,73.815002,66.052002,73.230003,73.230003,0
2016-01-01,73.815002,85.818001,72.945000,76.550003,76.550003,0
